movie_id,title,genre,release_date,rating,studio,runtime_minutes,budget,domestic_gross,international_gross,total_gross,imdb_rating,tickets_sold,tickets_available,release_year,release_month,profit,roi,budget_category,performance
72,Lost Chronicles II,Animation,2019-12-10,G,Warner Bros,173,1640114,2680857,1241185,3922042,7.4,216091,27,2019,12,2281928,139.13,Low Budget,Profit
73,Ultimate Legacy,Comedy,2020-10-25,PG,Warner Bros,127,6197550,12347427,15009320,27356747,5.8,1014338,316,2020,10,21159197,341.41,Low Budget,Profit
74,Dark Kingdom,Animation,2023-04-24,PG-13,Amazon Studios,105,20782089,117759033,114442530,232201563,5.5,9537313,312,2023,4,211419474,1017.32,Medium Budget,Major Success
75,Fantastic Mystery,Horror,2019-03-08,PG-13,Warner Bros,142,15707734,37170653,25364874,62535527,7.4,4359961,1,2019,3,46827793,298.12,Medium Budget,Profit
76,Hidden Tales,Romance,2023-08-23,G,Sony Pictures,99,5074908,16161464,14900553,31062017,7.4,1152969,36,2023,8,25987109,512.07,Low Budget,Profit
77,Mysterious Quest,Thriller,2019-01-05,G,Netflix,119,9992320,46139338,28965200,75104538,5.6,4679717,72,2019,1,65112218,651.62,Low Budget,Major Success
78,Incredible Adventure Returns,Romance,2025-04-30,R,Warner Bros,133,9437216,16248369,15744679,31993048,8.1,1502036,139,2025,4,22555832,239.01,Low Budget,Profit
79,Golden Dreams,Fantasy,2017-01-05,G,MGM,140,30068081,340666325,554662693,895329018,6.5,41640883,117,2017,1,865260937,2877.67,Medium Budget,Major Success
80,Mysterious Empire,Action,2025-08-20,PG-13,Amazon Studios,137,9773628,8661025,17008446,25669471,6.3,766903,333,2025,8,15895843,162.64,Low Budget,Profit
81,Lost Journey Rising,Animation,2023-01-23,G,Lionsgate,122,16113323,12213076,12619508,24832584,9.6,962346,439,2023,1,8719261,54.11,Medium Budget,Profit
82,Ultimate Chronicles,Romance,2024-01-28,R,Netflix,94,2638738,5279845,2606826,7886671,7.7,540591,59,2024,1,5247933,198.88,Low Budget,Profit
83,Wild Saga,Documentary,2015-09-01,R,MGM,135,16657073,11348780,16348674,27697454,5.2,918302,255,2015,9,11040381,66.28,Medium Budget,Profit
84,Mysterious Tales,Romance,2019-02-09,NC-17,Disney,121,5869045,58307363,73692076,131999439,6.3,4524246,62,2019,2,126130394,2149.08,Low Budget,Major Success
85,Amazing Warrior,Drama,2019-09-20,PG-13,Netflix,99,6443704,5335062,6389160,11724222,5.7,557308,430,2019,9,5280518,81.95,Low Budget,Profit
86,Incredible Tales,Animation,2018-04-07,PG-13,Netflix,99,11338189,43006375,52213126,95219501,5.7,3779950,241,2018,4,83881312,739.81,Medium Budget,Major Success
87,Dark Tales,Horror,2022-03-04,NC-17,Netflix,108,11207008,8196672,4920612,13117284,4.4,965601,395,2022,3,1910276,17.05,Medium Budget,Profit
88,Wild Empire,Romance,2024-04-14,G,Paramount,102,7178154,29790659,63824908,93615567,8.7,2470313,337,2024,4,86437413,1204.17,Low Budget,Major Success
89,Lost Empire Rising,Sci-Fi,2023-11-20,PG-13,Netflix,141,11359064,35330568,39918670,75249238,5.0,2431565,445,2023,11,63890174,562.46,Medium Budget,Major Success
90,Dark Guardian Reloaded,Thriller,2019-08-15,G,20th Century Fox,119,6658077,28560814,52880385,81441199,5.3,2087799,197,2019,8,74783122,1123.19,Low Budget,Major Success
91,Mysterious Kingdom,Animation,2018-03-27,G,Disney,132,53495236,108344974,173178275,281523249,7.1,7690639,447,2018,3,228028013,426.26,High Budget,Major Success
92,Dangerous Tales Reloaded,Drama,2015-11-28,R,Disney,137,7734054,7372701,14888105,22260806,6.5,748105,319,2015,11,14526752,187.83,Low Budget,Profit
93,Fantastic Saga,Documentary,2021-03-27,R,20th Century Fox,122,4102020,11324193,25506217,36830410,7.2,991989,277,2021,3,32728390,797.86,Low Budget,Profit
94,Amazing Destiny Returns,Comedy,2019-07-08,R,Warner Bros,156,30148179,820807321,1517311437,2338118758,5.3,94307180,85,2019,7,2307970579,7655.42,Medium Budget,Major Success
95,Fantastic Journey,Sci-Fi,2016-06-05,G,Paramount,141,16011329,250974852,313093871,564068723,5.3,25848694,210,2016,6,548057394,3422.94,Medium Budget,Major Success
96,Secret Warrior,Drama,2018-07-16,G,Amazon Studios,99,4879763,2070039,3443225,5513264,5.7,213718,467,2018,7,633501,12.98,Low Budget,Profit
97,Secret Legacy Returns,Romance,2023-06-19,G,Lionsgate,101,10328253,53118504,95121639,148240143,9.3,5833461,226,2023,6,137911890,1335.29,Medium Budget,Major Success
98,Epic Destiny Reloaded,Animation,2019-11-26,PG-13,Sony Pictures,143,4990747,8124766,17690361,25815127,7.2,928908,195,2019,11,20824380,417.26,Low Budget,Profit
99,Secret Chronicles,Action,2020-09-01,R,Paramount,86,83213809,142999855,315049883,458049738,5.8,10633397,498,2020,9,374835929,450.45,High Budget,Major Success
100,Amazing Destiny,Horror,2020-07-07,NC-17,20th Century Fox,80,34410502,38864906,27916287,66781193,8.4,3984351,386,2020,7,32370691,94.07,Medium Budget,Profit
101,Fantastic Kingdom,Comedy,2017-12-21,G,Paramount,80,4879849,15992615,5971673,21964288,6.6,1515309,67,2017,12,17084439,350.1,Low Budget,Profit
102,Incredible Journey,Drama,2022-09-18,PG,Disney,108,21535519,24085205,53666974,77752179,6.3,2280579,256,2022,9,56216660,261.04,Medium Budget,Major Success
103,Brilliant Empire Reloaded,Sci-Fi,2020-09-01,G,Lionsgate,123,22295689,175790935,107173656,282964591,4.8,11905517,440,2020,9,260668902,1169.14,Medium Budget,Major Success
104,Mysterious Guardian,Documentary,2022-05-29,PG-13,Warner Bros,81,41451767,188827721,62430417,251258138,5.4,16062233,232,2022,5,209806371,506.15,Medium Budget,Major Success
105,Epic Warrior,Fantasy,2020-02-09,R,20th Century Fox,158,14963728,42785376,34844760,77630136,6.6,5233574,452,2020,2,62666408,418.79,Medium Budget,Major Success
106,Golden Chronicles,Comedy,2019-05-31,R,Paramount,171,51409875,111114050,61855753,172969803,8.0,13359184,19,2019,5,121559928,236.45,High Budget,Major Success
107,Brilliant Tales III,Drama,2024-10-16,R,Lionsgate,136,34922139,23930957,57162385,81093342,7.5,1858659,276,2024,10,46171203,132.21,Medium Budget,Profit
108,Hidden Destiny,Thriller,2018-04-11,G,Lionsgate,146,1530737,1244649,2944735,4189384,3.4,124987,353,2018,4,2658647,173.68,Low Budget,Profit
109,Epic Quest,Sci-Fi,2019-08-31,G,20th Century Fox,113,27316660,295203769,723619291,1018823060,6.6,28085978,203,2019,8,991506400,3629.68,Medium Budget,Major Success
110,Brilliant Quest,Comedy,2023-05-20,PG,Amazon Studios,160,2235328,1586739,652582,2239321,6.4,153537,64,2023,5,3993,0.18,Low Budget,Profit
111,Wild Destiny Rising,Fantasy,2019-03-04,PG,Sony Pictures,129,12900419,2692762,1681950,4374712,6.4,188256,1,2019,3,-8525707,-66.09,Medium Budget,Loss
112,Brilliant Empire,Documentary,2017-11-09,PG-13,Disney,87,22567848,28808357,63556575,92364932,5.1,3228687,183,2017,11,69797084,309.28,Medium Budget,Major Success
113,Wild Kingdom Returns,Drama,2015-12-01,PG-13,Universal Pictures,107,4005386,3550065,4352781,7902846,7.9,403620,32,2015,12,3897460,97.31,Low Budget,Profit
114,Lost Tales,Fantasy,2024-05-18,G,Lionsgate,95,22065185,29389197,69943773,99332970,5.3,3539351,401,2024,5,77267785,350.18,Medium Budget,Major Success
115,Dangerous Warrior,Action,2023-06-10,G,Lionsgate,117,4733724,9430345,11672899,21103244,4.7,1077048,364,2023,6,16369520,345.81,Low Budget,Profit
116,Lost Mystery,Fantasy,2021-02-15,PG,Warner Bros,169,17949860,8396013,14050715,22446728,6.8,694025,364,2021,2,4496868,25.05,Medium Budget,Profit
117,Epic Saga,Romance,2024-09-02,R,Netflix,117,7124359,34483351,17869017,52352368,7.6,2670549,436,2024,9,45228009,634.84,Low Budget,Profit
118,Mysterious Warrior,Horror,2025-01-09,R,Lionsgate,106,4996167,13692677,16573477,30266154,3.0,992803,204,2025,1,25269987,505.79,Low Budget,Profit
119,Hidden Guardian Reloaded,Romance,2020-12-18,PG-13,Disney,82,45319072,681803334,915927336,1597730670,6.1,78925453,43,2020,12,1552411598,3425.51,Medium Budget,Major Success
120,Incredible Saga Returns,Documentary,2017-11-10,G,Amazon Studios,134,12130702,1014572194,1558082007,2572654201,8.2,79949942,210,2017,11,2560523499,21107.79,Medium Budget,Major Success
121,Epic Empire,Action,2022-11-04,PG-13,Amazon Studios,116,5126453,1638768,865140,2503908,6.8,141861,79,2022,11,-2622545,-51.16,Low Budget,Loss
122,Mysterious Tales II,Documentary,2021-08-08,PG-13,Warner Bros,101,2785980,4625019,7228997,11854016,4.9,338815,432,2021,8,9068036,325.49,Low Budget,Profit
123,Golden Kingdom,Action,2025-02-12,NC-17,Paramount,162,32188019,19202115,17304847,36506962,8.7,1439777,471,2025,2,4318943,13.42,Medium Budget,Profit
124,Epic Chronicles III,Thriller,2025-04-13,G,Disney,121,4882070,69266509,168870550,238137059,7.3,8014819,271,2025,4,233254989,4777.79,Low Budget,Major Success
125,Dark Saga,Drama,2021-06-12,PG-13,Paramount,94,7345961,9259380,18602449,27861829,4.4,773345,43,2021,6,20515868,279.28,Low Budget,Profit
126,Amazing Legacy Rising,Comedy,2016-06-29,PG-13,Lionsgate,143,59973696,41718088,57089357,98807445,7.3,3760314,139,2016,6,38833749,64.75,High Budget,Profit
127,Dark Kingdom,Thriller,2021-07-08,G,Paramount,103,5459537,8676274,13924511,22600785,5.2,742289,157,2021,7,17141248,313.97,Low Budget,Profit
128,Amazing Quest,Action,2016-07-30,PG,Paramount,121,5806653,28983648,57624389,86608037,6.4,2171201,148,2016,7,80801384,1391.53,Low Budget,Major Success
129,Epic Mystery Reloaded,Drama,2018-08-20,R,Netflix,114,3585599,5967366,8357756,14325122,7.6,431371,412,2018,8,10739523,299.52,Low Budget,Profit
130,Epic Mystery,Thriller,2016-05-13,G,Lionsgate,132,3343219,13750609,30205165,43955774,7.6,1142996,293,2016,5,40612555,1214.77,Low Budget,Profit
131,Hidden Guardian,Comedy,2020-07-28,R,Universal Pictures,80,19889936,39799845,26989110,66788955,7.4,2719813,235,2020,7,46899019,235.79,Medium Budget,Profit
132,Dangerous Guardian,Thriller,2017-02-22,G,Sony Pictures,100,1461710,581333,686548,1267881,6.6,67987,445,2017,2,-193829,-13.26,Low Budget,Loss
133,Brilliant Guardian,Drama,2021-04-24,G,Netflix,126,3597261,18504812,27152677,45657489,4.0,1977574,397,2021,4,42060228,1169.23,Low Budget,Profit
134,Epic Chronicles,Horror,2018-02-27,G,Disney,118,3441259,2503106,1706361,4209467,6.6,275973,388,2018,2,768208,22.32,Low Budget,Profit
135,Mysterious Mystery Reloaded,Fantasy,2023-07-16,NC-17,Lionsgate,98,9073871,71583071,160382296,231965367,5.6,5726213,319,2023,7,222891496,2456.41,Low Budget,Major Success
136,Epic Empire,Drama,2021-01-09,R,Warner Bros,140,3732756,13576339,22931078,36507417,8.7,1000149,302,2021,1,32774661,878.03,Low Budget,Profit
137,Amazing Chronicles,Animation,2020-12-04,R,Universal Pictures,80,5206763,6482399,13805776,20288175,6.2,759319,442,2020,12,15081412,289.65,Low Budget,Profit
138,Dangerous Mystery,Thriller,2024-04-09,R,Amazon Studios,129,4857404,12924644,26392112,39316756,6.3,905649,230,2024,4,34459352,709.42,Low Budget,Profit
139,Wild Destiny,Fantasy,2021-02-11,R,Netflix,149,17190817,24769339,10802457,35571796,5.9,2839051,460,2021,2,18380979,106.92,Medium Budget,Profit
140,Dangerous Chronicles,Documentary,2017-01-30,PG,Universal Pictures,107,7495445,15202221,19201441,34403662,5.9,1372542,267,2017,1,26908217,358.99,Low Budget,Profit
141,Secret Legacy,Thriller,2020-06-16,R,20th Century Fox,127,70802211,486610862,202042843,688653705,6.0,39191590,171,2020,6,617851494,872.64,High Budget,Major Success
142,Incredible Chronicles Reloaded,Romance,2020-06-24,NC-17,Disney,150,7681219,1667857,2638594,4306451,5.0,185523,179,2020,6,-3374768,-43.94,Low Budget,Loss
143,Brilliant Warrior,Drama,2022-04-25,NC-17,Warner Bros,80,8128205,13110575,14797833,27908408,9.0,968167,416,2022,4,19780203,243.35,Low Budget,Profit
144,Ultimate Warrior,Comedy,2024-08-07,R,Netflix,128,7137687,28896977,31720641,60617618,3.2,3120003,109,2024,8,53479931,749.26,Low Budget,Major Success
145,Epic Kingdom,Drama,2019-07-02,PG,Warner Bros,125,24971093,8739390,17774734,26514124,8.2,756406,276,2019,7,1543031,6.18,Medium Budget,Profit
146,Dangerous Guardian,Sci-Fi,2016-04-15,NC-17,Disney,128,11439026,55790887,35670242,91461129,9.9,6021083,354,2016,4,80022103,699.55,Medium Budget,Major Success
147,Wild Destiny,Animation,2018-06-18,G,MGM,124,11389706,12770993,24048909,36819902,5.2,863656,312,2018,6,25430196,223.27,Medium Budget,Profit
148,Brilliant Kingdom,Horror,2023-04-14,NC-17,Sony Pictures,140,3775019,6419757,13346498,19766255,5.8,568970,427,2023,4,15991236,423.61,Low Budget,Profit
149,Dark Chronicles,Animation,2025-05-08,R,Paramount,131,12405644,112858945,158724224,271583169,5.7,10325021,82,2025,5,259177525,2089.19,Medium Budget,Major Success
150,Dangerous Quest,Romance,2018-01-01,G,Lionsgate,113,3339181,7621909,11585222,19207131,7.1,874259,433,2018,1,15867950,475.2,Low Budget,Profit
151,Golden Empire II,Romance,2018-05-17,R,Netflix,138,3533624,8563662,10811106,19374768,8.5,585553,113,2018,5,15841144,448.3,Low Budget,Profit
152,Dangerous Tales,Thriller,2016-02-06,G,MGM,130,58048870,60433499,49477616,109911115,4.6,4039219,191,2016,2,51862245,89.34,High Budget,Major Success
153,Dark Adventure,Sci-Fi,2017-05-01,PG,Disney,80,77351744,94360158,218752472,313112630,6.4,8345150,425,2017,5,235760886,304.79,High Budget,Major Success
154,Ultimate Kingdom,Fantasy,2023-04-12,G,Warner Bros,126,5622800,36756958,28466074,65223032,6.7,4063052,481,2023,4,59600232,1059.97,Low Budget,Major Success
155,Fantastic Destiny,Romance,2017-07-15,PG,Paramount,122,18361499,27519388,22691576,50210964,6.8,2206376,318,2017,7,31849465,173.46,Medium Budget,Profit
156,Lost Mystery Reloaded,Action,2024-10-06,NC-17,Amazon Studios,100,21357925,188890313,116331697,305222010,8.5,17164555,314,2024,10,283864085,1329.08,Medium Budget,Major Success
157,Epic Quest,Comedy,2018-10-31,NC-17,20th Century Fox,159,5329587,1459852,2127487,3587339,6.3,126379,259,2018,10,-1742248,-32.69,Low Budget,Loss
158,Golden Adventure,Action,2023-08-24,R,20th Century Fox,121,39811111,10169406,3414204,13583610,8.8,752195,176,2023,8,-26227501,-65.88,Medium Budget,Major Loss
159,Dark Guardian,Fantasy,2017-05-30,PG-13,Disney,116,11307177,2692527,4042102,6734629,4.0,196612,89,2017,5,-4572548,-40.44,Medium Budget,Loss
160,Dangerous Kingdom,Drama,2023-10-15,PG,Warner Bros,140,12430730,10286923,24441022,34727945,4.6,1245558,103,2023,10,22297215,179.37,Medium Budget,Profit
161,Amazing Kingdom II,Romance,2021-01-06,NC-17,MGM,111,47158344,144120643,215412446,359533089,4.2,14746520,385,2021,1,312374745,662.4,Medium Budget,Major Success
162,Mysterious Quest II,Romance,2021-04-17,G,20th Century Fox,113,6765024,925505,1092140,2017645,6.4,83543,489,2021,4,-4747379,-70.18,Low Budget,Loss
163,Hidden Chronicles,Animation,2024-02-02,PG-13,Netflix,114,17826672,162355197,78213855,240569052,8.2,14797906,220,2024,2,222742380,1249.49,Medium Budget,Major Success
